Wheel	Crank	Slider
1215	-4.84436	-4.89495
1220	-4.40299	-5.32495
1225	-3.92833	-5.70961
1230	-3.42401	-6.04691
1235	-2.89387	-6.33515
1240	-2.34196	-6.57289
1245	-1.77243	-6.75899
1250	-1.18959	-6.89259
1255	-0.59782	-6.97305
1260	-0.00156375	-7
1265	0.594705	-6.97333
1270	1.18651	-6.89315
1275	1.76941	-6.75983
1280	2.33902	-6.574
1285	2.89104	-6.33652
1290	3.42129	-6.04855
1295	3.92576	-5.7115
1300	4.40059	-5.32709
1305	4.84214	-4.89731
1310	5.24702	-4.42451
1315	5.61209	-3.91132
1320	5.93452	-3.36073
1325	6.21178	-2.77606
1330	6.44171	-2.16098
1335	6.62249	-1.51948
1340	6.75269	-0.855883
1345	6.83129	-0.174843
1350	6.85765	0.518714
1355	6.83158	1.21959
1360	6.75328	1.92238
1365	6.62336	2.62147
1370	6.44286	3.31114
1375	6.21321	3.98558
1380	5.9362	4.63899
1385	5.61402	5.2656
1390	5.24918	5.85977
1395	4.84452	6.41607
1400	4.40316	6.9293
1405	3.92851	7.39462
1410	3.4242	7.80756
1415	2.89408	8.16414
1420	2.34217	8.46086
1425	1.77265	8.69481
1430	1.18981	8.86366
1435	0.598043	8.96573
1440	0.00178714	9
1445	-0.594482	8.96613
1450	-1.18629	8.86447
1455	-1.76919	8.69601
1460	-2.33881	8.46245
1465	-2.89083	8.1661
1470	-3.4211	7.80987
1475	-3.92558	7.39725
1480	-4.40042	6.93223
1485	-4.84198	6.41927
1490	-5.24688	5.86322
1495	-5.61196	5.26926
1500	-5.93441	4.64283
1505	-6.21169	3.98956
1510	-6.44163	3.31523
1515	-6.62243	2.62563
1520	-6.75265	1.92658
1525	-6.83127	1.2238
1530	-6.85765	0.522894
1535	-6.8316	-0.170722
1540	-6.75332	-0.851853
1545	-6.62342	-1.51556
1550	-6.44294	-2.15721
1555	-6.2133	-2.77247
1560	-5.93632	-3.35733
1565	-5.61415	-3.90813
1570	-5.24933	-4.42155
1575	-4.84468	-4.89461
1580	-4.40333	-5.32465
1585	-3.92869	-5.70934
1590	-3.42439	-6.04668
1595	-2.89428	-6.33495
1600	-2.34238	-6.57273
1605	-1.77286	-6.75887
1610	-1.19003	-6.89251
1615	-0.598266	-6.97301
1620	-0.00201053	-7
1625	0.59426	-6.97337
1630	1.18607	-6.89323
1635	1.76898	-6.75995
1640	2.3386	-6.57416
1645	2.89063	-6.33672
1650	3.4209	-6.04879
1655	3.92539	-5.71177
1660	4.40024	-5.32739
1665	4.84182	-4.89765
1670	5.24673	-4.42488
1675	5.61183	-3.91172
1680	5.93429	-3.36116
1685	6.21159	-2.77651
1690	6.44156	-2.16145
1695	6.62237	-1.51996
1700	6.75261	-0.856387
1705	6.83125	-0.175358
1710	6.85765	0.518192
1715	6.83162	1.21907
1720	6.75336	1.92185
1725	6.62348	2.62095
1730	6.44302	3.31063
1735	6.2134	3.98509
1740	5.93643	4.63851
1745	5.61428	5.26514
1750	5.24947	5.85934
1755	4.84484	6.41567
1760	4.40351	6.92893
1765	3.92888	7.39429
1770	3.42459	7.80728
1775	2.89448	8.1639
1780	2.34259	8.46066
1785	1.77308	8.69466
1790	1.19025	8.86355
1795	0.598488	8.96567
