Joint_One Joint_Two Joint_Three Joint_Four Joint_Five Joint_Six
 37.7156 -39.7142 -7.5347 -303.468 -19.1521 308.044  
 36.4915 -40.7268 -5.45904 -308.298 -19.0572 312.268  
 35.2266 -41.69 -3.48212 -313.116 -19.0343 316.432  
 33.9206 -42.6055 -1.60116 -317.899 -19.0803 320.511  
 32.5733 -43.4744 0.186407 -322.629 -19.1921 324.487  
 31.1842 -44.2976 1.88245 -327.29 -19.3652 328.347  
 29.7531 -45.0761 3.48831 -331.872 -19.5945 332.079  
 28.2799 -45.8104 5.00487 -336.365 -19.8754 335.676  
 26.7648 -46.5007 6.4327 -340.764 -20.2032 339.131  
 25.2081 -47.1474 7.77201 -345.067 -20.5734 342.444  
 23.6105 -47.7506 9.02277 -349.273 -20.9816 345.615  
 21.973 -48.3103 10.1847 -353.383 -21.4238 348.648  
 20.2968 -48.8264 11.2574 -357.4 -21.8961 351.546  
 18.5835 -49.2987 12.2403 -361.327 -22.3953 354.315  
 16.8351 -49.7271 13.1327 -365.17 -22.9181 356.962  
 15.0538 -50.1114 13.9339 -368.932 -23.4617 359.495  
 13.2422 -50.4511 14.6431 -372.619 -24.0237 361.92  
 11.4032 -50.7463 15.2596 -376.233 -24.6019 364.246  
 9.54008 -50.9964 15.7826 -379.78 -25.1945 366.48  
 7.65638 -51.2015 16.2115 -383.261 -25.8 368.629  
 5.75589 -51.3612 16.5456 -386.681 -26.4172 370.702  
 3.8426 -51.4753 16.7845 -390.041 -27.045 372.703  
 1.92068 -51.5438 16.9279 -393.343 -27.6828 374.64  
 -0.0055719 -51.5666 16.9755 -396.587 -28.3299 376.518  
 -1.93182 -51.5437 16.9272 -399.775 -28.9862 378.343  
 -3.85372 -51.475 16.7832 -402.906 -29.6514 380.12  
 -5.76698 -51.3606 16.5437 -405.979 -30.3256 381.853  
 -7.6711 -51.2257 16.2585 -409.005 -30.9982 383.537  
 -9.53887 -51.0002 15.7974 -411.838 -31.6959 385.104  
 -11.4006 -50.7485 15.2832 -414.69 -32.407 386.718  
 -13.2524 -50.4493 14.6419 -417.666 -33.1202 388.417  
 -15.0651 -50.1096 13.9275 -420.463 -33.8401 389.994  
 -16.8579 -49.7501 13.1769 -423.176 -34.562 391.514  
 -18.5844 -49.3027 12.2562 -425.707 -35.3082 392.963  
 -20.2975 -48.8293 11.2814 -428.252 -36.0706 394.457  
 -21.9832 -48.3074 10.18 -430.893 -36.8507 396.028  
 -23.621 -47.7475 9.0132 -433.36 -37.6331 397.497  
 -25.2352 -47.1691 7.81378 -435.746 -38.4153 398.921  
 -26.7676 -46.505 6.44957 -437.958 -39.2231 400.302  
 -28.2835 -45.8139 5.02945 -440.179 -40.0513 401.726  
 -29.7632 -45.0717 3.48052 -442.476 -40.9123 403.217  
 -31.1943 -44.2927 1.87001 -444.612 -41.771 404.628  
 -32.6017 -43.4955 0.228056 -446.674 -42.6276 406.003  
 -33.9256 -42.6099 -1.5833 -448.577 -43.5132 407.362  
 -35.2328 -41.6941 -3.45643 -450.488 -44.4243 408.764  
 -36.5021 -40.7201 -5.46964 -452.461 -45.384 410.228  
 -37.7271 -39.7063 -7.55038 -454.293 -46.3385 411.634  
 -38.9307 -38.6722 -9.66649 -456.061 -47.29 413.016  
 -40.0576 -37.5349 -11.981 -457.692 -48.2791 414.413  
 -41.1693 -36.3592 -14.3733 -459.33 -49.3013 415.86  
 -42.2452 -35.1078 -16.9387 -461.027 -50.3926 417.372  
 -43.2834 -33.8029 -19.5991 -462.604 -51.481 418.858  
 -44.2875 -32.4273 -22.3963 -464.123 -52.5997 420.373  
 -45.2586 -30.9711 -25.3544 -465.605 -53.7594 421.93  
 -46.1975 -29.4251 -28.4916 -467.051 -54.964 423.536  
 -47.1054 -27.7766 -31.833 -468.465 -56.2202 425.203  
 -47.9833 -26.0085 -35.4128 -469.85 -57.5374 426.947  
 -48.8324 -24.0972 -39.2782 -471.215 -58.9284 428.789  
 -49.6536 -22.0088 -43.4969 -472.565 -60.4114 430.759  
 -49.6528 -23.3293 -43.3486 -473.17 -60.8443 431.991  
 -49.6537 -24.555 -43.3871 -473.793 -61.3335 433.329  
 -49.6536 -25.7011 -43.5915 -474.47 -61.8944 434.731  
 -49.6532 -26.7865 -43.9113 -475.146 -62.4841 436.167  
 -49.6534 -27.8083 -44.3475 -475.817 -63.1048 437.651  
 -49.6535 -28.7538 -44.9295 -476.505 -63.7799 439.186  
 -49.6533 -29.6258 -45.6475 -477.195 -64.4988 440.76  
 -49.6533 -30.4226 -46.5005 -477.88 -65.2584 442.377  
 -49.6534 -31.1355 -47.506 -478.566 -66.0705 444.04  
 -49.6533 -31.7602 -48.6706 -479.249 -66.9354 445.747  
 -49.5501 -32.5509 -49.2201 -479.733 -67.5092 447.061  
 -49.458 -33.2553 -49.9178 -480.234 -68.1305 448.429  
 -49.3037 -34.0852 -50.3572 -480.683 -68.6497 449.682  
 -49.0883 -35.059 -50.4897 -481.07 -69.0302 450.819  
 -48.8116 -36.1616 -50.3379 -481.412 -69.2889 451.843  
 -48.4733 -37.3877 -49.9034 -481.714 -69.4197 452.75  
 -48.074 -38.7321 -49.1851 -481.975 -69.411 453.542  
 -47.614 -40.1774 -48.2082 -482.201 -69.2706 454.228  
 -47.0936 -41.7067 -46.9963 -482.396 -69.0021 454.812  
 -46.5139 -43.3047 -45.5696 -482.561 -68.6051 455.3  
 -45.8758 -44.9519 -43.9555 -482.697 -68.0855 455.7  
 -45.1809 -46.6296 -42.1812 -482.804 -67.449 456.018  
 -44.4312 -48.3204 -40.27 -482.882 -66.6994 456.259  
 -43.6291 -50.0066 -38.2458 -482.927 -65.842 456.425  
 -42.7779 -51.6714 -36.1305 -482.938 -64.8825 456.518  
 -41.8814 -53.2992 -33.944 -482.91 -63.8262 456.539  
 -40.9442 -54.8751 -31.7047 -482.837 -62.6791 456.484  
 -39.9719 -56.3847 -29.4295 -482.711 -61.4479 456.351  
 -38.9709 -57.8148 -27.1341 -482.527 -60.1397 456.134  
 -37.9485 -59.1528 -24.833 -482.273 -58.7629 455.824  
 -36.9129 -60.387 -22.5398 -481.94 -57.3267 455.413  
 -35.873 -61.5063 -20.2677 -481.516 -55.8418 454.89  
 -34.8387 -62.5007 -18.0288 -480.988 -54.3201 454.242  
 -33.8203 -63.3611 -15.8353 -480.343 -52.7752 453.455  
 -32.8288 -64.0792 -13.6987 -479.569 -51.2221 452.514  
 -31.8752 -64.6481 -11.6306 -478.651 -49.6775 451.405  
 -30.9708 -65.0619 -9.64196 -477.577 -48.1595 450.113  
 -30.1266 -65.3161 -7.74404 -476.338 -46.6876 448.627  
 -29.3533 -65.4079 -5.94771 -474.928 -45.2823 446.936  
 -28.6562 -65.3037 -4.30018 -473.287 -43.9842 444.994  
 -28.0556 -65.0706 -2.72799 -471.511 -42.7709 442.892  
 -27.558 -64.657 -1.3368 -469.675 -41.7516 440.62  
 -27.152 -64.1176 -0.0267548 -467.619 -40.7746 438.114  
 -26.8651 -63.4128 1.11191 -465.485 -40.0055 435.52  
 -26.6943 -62.5868 2.10012 -463.398 -39.3993 432.87  
 -26.6296 -61.5921 2.90104 -461.148 -38.9625 430.062  
 -26.5768 -60.5752 3.64887 -459.027 -38.607 427.344  
 -26.3952 -59.545 4.40133 -456.672 -38.2204 424.488  
 -26.1059 -58.5496 5.16771 -454.338 -37.8379 421.684  
 -25.6959 -57.5942 5.98271 -451.804 -37.4133 418.815  
 -25.171 -56.6741 6.80222 -449.187 -36.9915 415.941  
 -24.5319 -55.797 7.6279 -446.469 -36.5741 413.068  
 -23.7797 -54.9697 8.45443 -443.657 -36.1647 410.208  
 -22.917 -54.1984 9.27406 -440.768 -35.7682 407.381  
 -21.9466 -53.49 10.0815 -437.814 -35.3854 404.605  
 -20.8724 -52.8515 10.8702 -434.815 -35.0154 401.9  
 -19.6991 -52.2896 11.6343 -431.79 -34.6545 399.288  
 -18.4328 -51.8111 12.3677 -428.76 -34.2968 396.788  
 -17.0807 -51.4225 13.0648 -425.748 -33.9338 394.419  
 -15.6513 -51.1301 13.72 -422.775 -33.5551 392.199  
 -14.1546 -50.9394 14.328 -419.862 -33.1485 390.14  
 -12.602 -50.855 14.8839 -417.03 -32.7008 388.255  
 -11.0001 -50.8794 15.4009 -414.199 -32.2121 386.506  
 -9.38861 -51.0337 15.8617 -411.682 -31.6347 385.046  
 -7.72921 -51.272 16.2134 -409.094 -30.9851 383.622  
 -6.08559 -51.6361 16.5255 -406.727 -30.2534 382.46  
 -4.45706 -52.1129 16.7646 -404.539 -29.4162 381.478  
 -2.85982 -52.698 16.9295 -402.545 -28.4714 380.683  
 -1.30872 -53.3862 17.0198 -400.757 -27.4172 380.075  
 0.181967 -54.1708 17.0351 -399.194 -26.2541 379.657  
 1.59876 -55.0442 16.9752 -397.881 -24.985 379.442  
 2.92924 -55.9973 16.8407 -396.853 -23.6162 379.45  
 4.16223 -57.0203 16.6326 -396.155 -22.1568 379.713  
 5.27679 -58.1017 16.339 -395.99 -20.6118 380.398  
 6.30253 -59.2582 16.0428 -395.924 -19.0368 381.178  
 7.18925 -60.4278 15.6277 -396.598 -17.3944 382.563  
 7.95222 -61.6242 15.1549 -397.93 -15.7327 384.518  
 8.58706 -62.8107 14.5901 -400.405 -14.0768 387.501  
 9.08155 -64.0271 14.0019 -404.05 -12.4847 391.566  
 9.4207 -65.233 13.3532 -409.667 -11.0375 397.515  
 9.6316 -66.4266 12.6716 -417.231 -9.786 405.336  
 9.70076 -67.5952 11.9511 -427.262 -8.85557 415.541  
 9.77071 -68.7048 11.162 -439.243 -8.25135 427.694  
 9.98299 -69.72 10.2741 -452.431 -7.93197 441.123  
 10.337 -70.6319 9.29726 -466.012 -7.92683 455.012  
 10.8284 -71.432 8.23869 -479.065 -8.23102 468.43  
 11.4503 -72.1129 7.10464 -490.884 -8.80852 480.658  
 12.1952 -72.6689 5.90252 -501.155 -9.60113 491.371  
 13.0557 -73.096 4.6417 -509.911 -10.5449 500.595  
 14.023 -73.3919 3.33229 -517.366 -11.5846 508.537  
 15.0869 -73.5558 1.98431 -523.77 -12.6786 515.442  
 16.236 -73.5879 0.607577 -529.342 -13.7962 521.524  
 17.4704 -73.4934 -0.780521 -534.415 -14.8956 527.103  
 18.7558 -73.2701 -2.17818 -538.856 -15.986 532.071  
 20.0814 -72.9212 -3.58297 -542.813 -17.0614 536.536  
 21.4391 -72.4545 -4.97771 -546.43 -18.0937 540.652  
 22.8148 -71.8762 -6.35208 -549.765 -19.0717 544.477  
 24.1947 -71.1938 -7.69656 -552.861 -19.9866 548.055  
 25.566 -70.4154 -9.00131 -555.758 -20.8299 551.422  
 26.9168 -69.5501 -10.2566 -558.487 -21.5941 554.61  
 28.2467 -68.6297 -11.4159 -561.157 -22.2339 557.748  
 29.4978 -67.5949 -12.5916 -563.39 -22.8596 560.399  
 30.7243 -66.5267 -13.6473 -565.753 -23.3555 563.179  
 31.923 -65.4357 -14.5605 -568.297 -23.7096 566.174  
 32.999 -64.2649 -15.4758 -570.324 -24.0225 568.617  
 34.0389 -63.0889 -16.2432 -572.583 -24.2119 571.288  
 35.0226 -61.9163 -16.8567 -574.956 -24.2672 574.087  
 35.9066 -60.7193 -17.392 -577.201 -24.2379 576.774  
 36.6998 -59.5218 -17.8285 -579.342 -24.118 579.287  
 37.4279 -58.3374 -18.125 -581.713 -23.908 582.057  
 38.0686 -57.1726 -18.2933 -584.14 -23.6014 584.891  
 38.6192 -56.0331 -18.341 -586.611 -23.2094 587.733  
 39.0905 -54.9261 -18.2557 -589.276 -22.7477 590.767  
 39.4764 -53.8575 -18.0406 -592.117 -22.2194 593.972  
 39.7744 -52.8321 -17.7018 -595.138 -21.6346 597.33  
 39.9887 -51.8315 -17.277 -598.478 -21.0607 600.985  
 40.1283 -50.9022 -16.6857 -602.177 -20.4404 605.024  
 40.1581 -50.0319 -15.9919 -605.967 -19.7484 609.077  
 40.1115 -49.2164 -15.193 -610.161 -19.0968 613.496  
 39.9825 -48.46 -14.2919 -614.761 -18.4853 618.294  
 39.7674 -47.7658 -13.299 -619.738 -17.925 623.427  
